City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
294,remire-montjoly,4.9167,-52.2667,298.17,100,0,0.0,GF,1720827593
295,neryungri,56.6709,124.6491,293.02,65,100,4.19,RU,1720827594
296,constantia,44.1833,28.65,298.54,52,0,3.7,RO,1720827595
297,gejiu,23.306,103.1635,290.17,95,100,1.07,CN,1720827597
298,la passe,45.5549,-0.8967,289.25,67,49,3.48,FR,1720827598
299,forster,-32.1667,152.5167,287.8,77,93,6.91,AU,1720827599
300,labrador city,52.9463,-66.9114,298.1,22,75,6.17,CA,1720827600
301,nova sintra,14.8667,-24.7167,297.66,81,50,3.05,CV,1720827602
302,shiyan,32.6475,110.7781,299.71,86,96,0.6,CN,1720827603
303,vilyuchinsk,52.9306,158.4028,291.3,85,87,2.07,RU,1720827604
304,porto novo,6.4965,2.6036,299.05,89,96,3.3,BJ,1720827606
305,coronado,32.6859,-117.1831,302.33,71,75,4.63,US,1720827607
306,dalbandin,28.8947,64.4101,302.49,21,1,5.84,PK,1720827608
307,cusset,46.13,3.4596,288.34,91,13,1.01,FR,1720827609
308,atherton,53.5237,-2.4935,287.27,95,99,1.39,GB,1720827611
309,palikir - national government center,6.9248,158.1611,300.62,94,100,1.54,FM,1720827612
310,timmins,48.4669,-81.3331,301.05,34,20,2.57,CA,1720827616
311,tura,25.5198,90.2201,297.44,99,100,2.5,IN,1720827618
312,erndtebruck,50.9833,8.2667,284.68,88,97,3.41,DE,1720827619
313,balabac,7.9868,117.0645,299.1,87,100,8.56,PH,1720827620
314,ginir,7.1333,40.7,289.77,72,65,5.69,ET,1720827621
315,beni saf,35.301,-1.3823,302.31,50,10,2.34,DZ,1720827623
316,reggane,26.7158,0.1714,312.0,8,38,6.18,DZ,1720827624
317,avarua,-21.2078,-159.775,299.18,65,20,7.2,CK,1720827625
318,gulf shores,30.246,-87.7008,305.14,66,6,2.68,US,1720827626
319,dabrowa bialostocka,53.6536,23.3479,293.44,87,89,4.58,PL,1720827627
320,sanibel,26.449,-82.0223,300.93,85,100,4.02,US,1720827629
321,guerrero negro,27.9769,-114.0611,296.18,67,4,7.26,MX,1720827630
322,itoman,26.1247,127.6694,305.42,79,40,5.14,JP,1720827633
323,mahibadhoo,3.7833,72.9667,301.99,76,100,5.58,MV,1720827634
324,pati,-6.7559,111.038,296.02,82,31,0.78,ID,1720827635
325,chonchi,-42.6128,-73.8092,278.71,88,28,0.72,CL,1720827636
326,lompoc,34.6391,-120.4579,298.06,70,0,7.2,US,1720827638
327,mana,5.6592,-53.7767,299.37,80,66,3.27,GF,1720827639
328,qarah bagh,34.9402,61.7759,295.04,52,4,4.39,AF,1720827640
329,princeton,25.5384,-80.4089,303.15,78,0,0.0,US,1720827641
330,carnarvon,-24.8667,113.6333,291.86,43,100,4.07,AU,1720827643
331,uberlandia,-18.9186,-48.2772,297.71,35,0,2.57,BR,1720827644
332,severo-yeniseyskiy,60.3725,93.0408,288.23,72,79,1.34,RU,1720827645
333,vel'sk,61.0701,42.0983,287.78,63,98,3.79,RU,1720827646
334,lokomotivnyy,53.0118,60.5684,290.2,95,83,7.13,RU,1720827648
335,dampit,-8.2116,112.7493,293.19,85,44,1.5,ID,1720827649
336,kunda,25.7167,81.5167,304.48,66,82,1.28,IN,1720827650
337,dwarka,22.2394,68.9678,301.83,84,99,10.0,IN,1720827653
338,la jagua de ibirico,9.5623,-73.3341,300.95,77,71,3.22,CO,1720827654
339,broken hill,-31.95,141.4333,283.44,75,0,4.43,AU,1720827655
340,masterton,-40.9597,175.6575,286.97,83,68,3.69,NZ,1720827656
341,prince albert,53.2001,-105.7677,298.12,44,0,5.66,CA,1720827658
342,puerto ayacucho,5.6639,-67.6236,297.25,93,99,1.49,VE,1720827659
343,cill airne,52.05,-9.5167,285.23,91,100,1.15,IE,1720827660
344,ust-nera,64.5667,143.2,300.69,29,80,2.22,RU,1720827661
345,zaysan,47.4667,84.8667,294.41,38,94,2.23,KZ,1720827663
346,buena vista,43.4203,-83.8986,301.25,67,75,1.54,US,1720827664
347,kill devil hills,36.0307,-75.676,300.36,86,100,3.09,US,1720827665
